bmi_id,bmi,bmi_cat
1,22.50,Healthy Weight
2,22.50,Healthy Weight
3,22.59,Healthy Weight
4,22.69,Healthy Weight
5,23.01,Healthy Weight
6,23.05,Healthy Weight
7,23.12,Healthy Weight
8,23.46,Healthy Weight
9,23.57,Healthy Weight
10,23.67,Healthy Weight
11,23.67,Healthy Weight
12,23.75,Healthy Weight
13,23.75,Healthy Weight
14,23.75,Healthy Weight
15,23.75,Healthy Weight
16,23.75,Healthy Weight
17,23.92,Healthy Weight
18,24.00,Healthy Weight
19,24.01,Healthy Weight
20,24.01,Healthy Weight
21,24.01,Healthy Weight
22,24.12,Healthy Weight
23,24.22,Healthy Weight
24,24.27,Healthy Weight
25,24.31,Healthy Weight
26,24.36,Healthy Weight
27,24.37,Healthy Weight
28,24.37,Healthy Weight
29,24.39,Healthy Weight
30,24.39,Healthy Weight
31,24.40,Healthy Weight
32,24.40,Healthy Weight
33,24.41,Healthy Weight
34,24.41,Healthy Weight
35,24.41,Healthy Weight
36,24.41,Healthy Weight
37,24.41,Healthy Weight
38,24.41,Healthy Weight
39,24.41,Healthy Weight
40,24.43,Healthy Weight
41,24.50,Healthy Weight
42,24.54,Healthy Weight
43,24.54,Healthy Weight
44,24.65,Healthy Weight
45,24.66,Healthy Weight
46,24.66,Healthy Weight
47,24.67,Healthy Weight
48,24.68,Healthy Weight
49,24.75,Healthy Weight
50,24.78,Healthy Weight
51,24.78,Healthy Weight
52,24.80,Healthy Weight
53,24.80,Healthy Weight
54,24.82,Healthy Weight
55,24.82,Healthy Weight
56,24.82,Healthy Weight
57,24.82,Healthy Weight
58,24.83,Healthy Weight
59,24.90,Healthy Weight
60,24.90,Healthy Weight
61,24.93,Healthy Weight
62,24.95,Healthy Weight
63,24.96,Healthy Weight
64,24.96,Healthy Weight
65,24.96,Healthy Weight
66,25.00,Overweight
67,25.00,Overweight
68,25.03,Overweight
69,25.03,Overweight
70,25.03,Overweight
71,25.03,Overweight
72,25.06,Overweight
73,25.06,Overweight
74,25.06,Overweight
75,25.06,Overweight
76,25.06,Overweight
77,25.06,Overweight
78,25.06,Overweight
79,25.07,Overweight
80,25.09,Overweight
81,25.09,Overweight
82,25.09,Overweight
83,25.09,Overweight
84,25.09,Overweight
85,25.10,Overweight
86,25.10,Overweight
87,25.10,Overweight
88,25.10,Overweight
89,25.10,Overweight
90,25.10,Overweight
91,25.11,Overweight
92,25.12,Overweight
93,25.14,Overweight
94,25.20,Overweight
95,25.20,Overweight
96,25.20,Overweight
97,25.22,Overweight
98,25.24,Overweight
99,25.25,Overweight
100,25.25,Overweight
101,25.25,Overweight
102,25.25,Overweight
103,25.29,Overweight
104,25.32,Overweight
105,25.33,Overweight
106,25.33,Overweight
107,25.33,Overweight
108,25.33,Overweight
109,25.36,Overweight
110,25.38,Overweight
111,25.42,Overweight
112,25.42,Overweight
113,25.42,Overweight
114,25.42,Overweight
115,25.46,Overweight
116,25.46,Overweight
117,25.46,Overweight
118,25.49,Overweight
119,25.49,Overweight
120,25.49,Overweight
121,25.49,Overweight
122,25.50,Overweight
123,25.52,Overweight
124,25.52,Overweight
125,25.56,Overweight
126,25.56,Overweight
127,25.59,Overweight
128,25.61,Overweight
129,25.62,Overweight
130,25.62,Overweight
131,25.62,Overweight
132,25.63,Overweight
133,25.66,Overweight
134,25.66,Overweight
135,25.66,Overweight
136,25.68,Overweight
137,25.68,Overweight
138,25.68,Overweight
139,25.68,Overweight
140,25.68,Overweight
141,25.68,Overweight
142,25.68,Overweight
143,25.68,Overweight
144,25.68,Overweight
145,25.68,Overweight
146,25.68,Overweight
147,25.69,Overweight
148,25.72,Overweight
149,25.72,Overweight
150,25.72,Overweight
151,25.72,Overweight
152,25.75,Overweight
153,25.75,Overweight
154,25.77,Overweight
155,25.77,Overweight
156,25.77,Overweight
157,25.77,Overweight
158,25.77,Overweight
159,25.77,Overweight
160,25.77,Overweight
161,25.77,Overweight
162,25.77,Overweight
163,25.77,Overweight
164,25.77,Overweight
165,25.77,Overweight
166,25.77,Overweight
167,25.77,Overweight
168,25.77,Overweight
169,25.77,Overweight
170,25.77,Overweight
171,25.77,Overweight
172,25.77,Overweight
173,25.77,Overweight
174,25.77,Overweight
175,25.80,Overweight
176,25.80,Overweight
177,25.80,Overweight
178,25.80,Overweight
179,25.80,Overweight
180,25.80,Overweight
181,25.80,Overweight
182,25.82,Overweight
183,25.82,Overweight
184,25.82,Overweight
185,25.82,Overweight
186,25.82,Overweight
187,25.86,Overweight
188,25.86,Overweight
189,25.86,Overweight
190,25.86,Overweight
191,25.87,Overweight
192,25.90,Overweight
193,25.90,Overweight
194,25.90,Overweight
195,25.90,Overweight
196,25.92,Overweight
197,25.93,Overweight
198,25.93,Overweight
199,25.93,Overweight
200,25.94,Overweight
201,25.97,Overweight
202,25.99,Overweight
203,25.99,Overweight
204,25.99,Overweight
205,26.00,Overweight
206,26.00,Overweight
207,26.04,Overweight
208,26.04,Overweight
209,26.04,Overweight
210,26.05,Overweight
211,26.06,Overweight
212,26.06,Overweight
213,26.08,Overweight
214,26.08,Overweight
215,26.08,Overweight
216,26.08,Overweight
217,26.11,Overweight
218,26.11,Overweight
219,26.12,Overweight
220,26.12,Overweight
221,26.12,Overweight
222,26.12,Overweight
223,26.14,Overweight
224,26.17,Overweight
225,26.17,Overweight
226,26.17,Overweight
227,26.17,Overweight
228,26.17,Overweight
229,26.17,Overweight
230,26.17,Overweight
231,26.17,Overweight
232,26.19,Overweight
233,26.19,Overweight
234,26.22,Overweight
235,26.25,Overweight
236,26.25,Overweight
237,26.25,Overweight
238,26.25,Overweight
239,26.25,Overweight
240,26.25,Overweight
241,26.25,Overweight
242,26.25,Overweight
243,26.25,Overweight
244,26.25,Overweight
245,26.29,Overweight
246,26.30,Overweight
247,26.30,Overweight
248,26.31,Overweight
249,26.32,Overweight
250,26.32,Overweight
251,26.32,Overweight
252,26.32,Overweight
253,26.32,Overweight
254,26.36,Overweight
255,26.36,Overweight
256,26.36,Overweight
257,26.37,Overweight
258,26.37,Overweight
259,26.37,Overweight
260,26.38,Overweight
261,26.38,Overweight
262,26.38,Overweight
263,26.38,Overweight
264,26.38,Overweight
265,26.38,Overweight
266,26.38,Overweight
267,26.38,Overweight
268,26.38,Overweight
269,26.40,Overweight
270,26.41,Overweight
271,26.44,Overweight
272,26.44,Overweight
273,26.44,Overweight
274,26.44,Overweight
275,26.44,Overweight
276,26.44,Overweight
277,26.44,Overweight
278,26.44,Overweight
279,26.44,Overweight
280,26.44,Overweight
281,26.44,Overweight
282,26.44,Overweight
283,26.45,Overweight
284,26.45,Overweight
285,26.50,Overweight
286,26.50,Overweight
287,26.50,Overweight
288,26.50,Overweight
289,26.50,Overweight
290,26.50,Overweight
291,26.50,Overweight
292,26.50,Overweight
293,26.50,Overweight
294,26.50,Overweight
295,26.50,Overweight
296,26.50,Overweight
297,26.50,Overweight
298,26.50,Overweight
299,26.50,Overweight
300,26.50,Overweight
301,26.50,Overweight
302,26.50,Overweight
303,26.52,Overweight
304,26.53,Overweight
305,26.54,Overweight
306,26.54,Overweight
307,26.54,Overweight
308,26.54,Overweight
309,26.54,Overweight
310,26.54,Overweight
311,26.54,Overweight
312,26.57,Overweight
313,26.57,Overweight
314,26.57,Overweight
315,26.58,Overweight
316,26.58,Overweight
317,26.61,Overweight
318,26.62,Overweight
319,26.62,Overweight
320,26.64,Overweight
321,26.64,Overweight
322,26.64,Overweight
323,26.64,Overweight
324,26.65,Overweight
325,26.65,Overweight
326,26.65,Overweight
327,26.65,Overweight
328,26.65,Overweight
329,26.65,Overweight
330,26.68,Overweight
331,26.69,Overweight
332,26.69,Overweight
333,26.69,Overweight
334,26.69,Overweight
335,26.70,Overweight
336,26.70,Overweight
337,26.72,Overweight
338,26.72,Overweight
339,26.72,Overweight
340,26.73,Overweight
341,26.75,Overweight
342,26.75,Overweight
343,26.75,Overweight
344,26.78,Overweight
345,26.78,Overweight
346,26.78,Overweight
347,26.78,Overweight
348,26.78,Overweight
349,26.78,Overweight
350,26.78,Overweight
351,26.78,Overweight
352,26.78,Overweight
353,26.83,Overweight
